Date,Open,High,Low,Close,Adj Close,Volume
2022-01-25,5.590000,5.590000,5.430000,5.490000,5.490000,135100
2022-01-26,5.530000,5.680000,5.510000,5.540000,5.540000,173700
2022-01-27,5.310000,5.390000,5.250000,5.300000,5.300000,119500
2022-01-28,5.240000,5.340000,5.230000,5.310000,5.310000,136600
2022-01-31,5.410000,5.670000,5.380000,5.670000,5.670000,138300
2022-02-01,5.440000,5.650000,5.440000,5.550000,5.550000,123200
2022-02-02,5.700000,5.800000,5.670000,5.750000,5.750000,70500
2022-02-03,5.510000,5.600000,5.500000,5.500000,5.500000,88500
2022-02-04,5.670000,5.670000,5.510000,5.580000,5.580000,92200
2022-02-07,5.570000,5.570000,5.400000,5.430000,5.430000,79200
2022-02-08,5.450000,5.480000,5.410000,5.480000,5.480000,126000
2022-02-09,5.890000,6.170000,5.560000,6.080000,6.080000,156700
2022-02-10,6.140000,6.160000,6.040000,6.050000,6.050000,77500
2022-02-11,5.880000,6.080000,5.880000,6.000000,6.000000,43700
2022-02-14,5.810000,6.040000,5.810000,6.000000,6.000000,58000
2022-02-15,5.860000,6.180000,5.860000,6.180000,6.180000,224700
2022-02-16,6.350000,6.350000,6.140000,6.230000,6.230000,68400
2022-02-17,6.380000,6.380000,6.100000,6.100000,6.100000,41200
2022-02-18,6.190000,6.190000,6.020000,6.110000,6.110000,45400
2022-02-22,5.420000,5.900000,5.420000,5.760000,5.760000,77500
2022-02-23,5.780000,5.780000,5.640000,5.650000,5.650000,230700
2022-02-24,5.410000,5.640000,5.350000,5.620000,5.620000,188000
2022-02-25,6.040000,6.040000,5.700000,5.940000,5.940000,169200
2022-02-28,5.900000,5.900000,5.750000,5.840000,5.840000,94800
2022-03-01,5.910000,5.910000,5.630000,5.630000,5.630000,165500
2022-03-02,5.630000,5.700000,5.600000,5.670000,5.670000,103600
2022-03-03,5.590000,5.690000,5.590000,5.610000,5.610000,102300
2022-03-04,5.550000,5.550000,5.430000,5.470000,5.470000,79500
2022-03-07,5.350000,5.350000,5.080000,5.080000,5.080000,175900
2022-03-08,5.000000,5.110000,4.820000,5.070000,5.070000,197500
2022-03-09,5.010000,5.270000,5.010000,5.250000,5.250000,88800
2022-03-10,5.330000,5.330000,5.170000,5.180000,5.180000,97100
2022-03-11,5.300000,5.300000,5.060000,5.080000,5.080000,87200
2022-03-14,5.080000,5.260000,5.040000,5.080000,5.080000,122700
2022-03-15,5.180000,5.250000,5.150000,5.190000,5.190000,386400
2022-03-16,5.150000,5.430000,5.150000,5.430000,5.430000,136300
2022-03-17,5.880000,5.880000,5.430000,5.450000,5.450000,168600
